index,name,type,price,score,displacement,horsepower,torque,length,width,height,wheelbase,imgLink
52,沃尔沃S60 2022款 B3 智行豪华版,中型车,29.69,4.42,2,163,265,4761,1850,1437,2872,https://p3-dcd.byteimg.com/img/motor-img/32788e221ee9ce7bdc710115d84ba355~noop.png
53,捷豹XEL 2021款 2.0T 200PS R-DYNAMIC 青春运动版,中型车,29.98,4.57,2,200,320,4778,1850,1429,2935,https://p1-dcd.byteimg.com/img/motor-img/4ed25584673478bb253640103995b474~noop.png
54,阿特兹 2021款 2.0L 蓝天时尚版,中型车,17.58,4.4,2,158,202,4870,1840,1445,2830,https://p3-dcd.byteimg.com/img/motor-img/23dae7287112eed1cb699aa22646497f~noop.png
55,奔驰CLA级 2022款 CLA 200 四门轿跑车,小型车,29.98,4.62,1.3,163,250,4692,1830,1422,2729,https://p1-dcd.byteimg.com/img/motor-img/2697f3fcb38c3ce604ad4408ffb0f115~noop.png
56,捷尼赛思G70 2023款 2.0T 后驱豪华版,中型车,25.08,4.48,2,245,353,4700,1850,1400,2835,https://p1-dcd.byteimg.com/img/motor-img/e0189a3f960c5144e012b6369a5432ab~noop.png
57,标致508L 2022款 360THP PureTech 先锋版,中型车,15.97,4.17,1.6,170,250,4870,1855,1455,2848,https://p1-dcd.byteimg.com/img/motor-img/304dff8a7af711897b242f6a59961fdb~noop.png
59,MINI 2022款 1.5T COOPER The Coopers 纪念版,小型车,25.49,4.09,1.5,136,220,3832,1727,1451,2495,https://p1-dcd.byteimg.com/img/motor-img/920a9fd8dc12065369016a002c651f6d~noop.png
60,奥迪A4L 2022款 35 TFSI 时尚动感型,中型车,30.68,4.48,2,150,270,4858,1847,1439,2908,https://p1-dcd.byteimg.com/img/motor-img/b9d9856f7ddc210dc2d7a5e20f3055a4~noop.png
61,宝马3系 2022款 改款 320i 运动套装,中型车,29.39,4.47,2,156,250,4719,1827,1459,2851,https://p1-dcd.byteimg.com/img/motor-img/f17f0d33c35bc994f9cdf4202235e999~noop.png
62,奥迪A6L 2022款 40 TFSI 豪华致雅型,大型车,41.98,4.44,2,190,320,5038,1886,1475,3024,https://p1-dcd.byteimg.com/img/motor-img/b247fab14141e0b59eeee709bdbdea7b~noop.png
63,奔驰E级 2022款 改款 E 260 L 轿车,大型车,43.81,4.38,2,197,320,5078,1860,1480,3079,https://p3-dcd.byteimg.com/img/motor-img/70261eb4cd2f0b38cc2f7da9dfff9d55~noop.png
64,凯迪拉克CT5 2022款 28T 风尚型,中型车,27.97,4.52,2,237,350,4924,1883,1453,2947,https://p1-dcd.byteimg.com/img/motor-img/c68f0a5049df07beec63cb3dd61d1558~noop.png
66,汉DM 2022款 DM-i 121KM尊贵型,大型车,21.58,4.29,1.5,139,231,4975,1910,1495,2920,https://p1-dcd.byteimg.com/img/motor-img/d0fd7da29eed3b2a3a8776bc19de0f52~noop.png
67,雷克萨斯ES 2021款 200 卓越版,大型车,29.49,4.64,2,173,208,4975,1866,1447,2870,https://p9-dcd.byteimg.com/img/motor-img/4782a535c22599dc9b9b6b651f99280c~noop.png
70,林肯Z 2022款 i酷 尊悦版,中型车,25.28,4.23,2,246,376,4982,1865,1485,2930,https://p3-dcd.byteimg.com/img/motor-img/bcb66ab6c3d3d01477068d328fe05788~noop.png
71,红旗H9 2022款 2.0T 智联旗悦版,大型车,30.98,4.54,2,252,380,5137,1904,1493,3060,https://p1-dcd.byteimg.com/img/motor-img/1371ea9d22ccda63f34ddd383d2a0e26~noop.png
72,凯迪拉克CT6 2022款 28T 风尚型,大型车,39.97,4.57,2,237,350,5223,1879,1492,3109,https://p1-dcd.byteimg.com/img/motor-img/465dc01d72c16442b9cf89925c76c322~noop.png
73,沃尔沃S60 2022款 B3 智行豪华版,中型车,29.69,4.42,2,163,265,4761,1850,1437,2872,https://p1-dcd.byteimg.com/img/motor-img/32788e221ee9ce7bdc710115d84ba355~noop.png
74,捷豹XEL 2021款 2.0T 200PS R-DYNAMIC 青春运动版,中型车,29.98,4.57,2,200,320,4778,1850,1429,2935,https://p1-dcd.byteimg.com/img/motor-img/4ed25584673478bb253640103995b474~noop.png
75,奥迪A5 2022款 Sportback 40 TFSI 时尚致雅型,中型车,37.98,4.58,2,204,320,4757,1843,1358,2826,https://p1-dcd.byteimg.com/img/motor-img/4489fc96e9e7009ef09e34fde126ed7d~noop.png
77,沃尔沃S90 2022款 B5 智逸豪华版,大型车,40.69,4.35,2,250,350,5090,1879,1450,3061,https://p1-dcd.byteimg.com/img/motor-img/3878a4c3d95de8876266901f71951479~noop.png
78,宝马4系 2022款 425i M运动套装,中型车,36.38,4.58,2,184,300,4773,1852,1395,2851,https://p1-dcd.byteimg.com/img/motor-img/df42521363e25dee8626c4a6cea12f8a~noop.png
79,捷豹XFL 2021款 2.0T P200 两驱精英豪华版,大型车,39.98,4.53,2,200,320,5102,1880,1456,3100,https://p1-dcd.byteimg.com/img/motor-img/190c57af7bbbeef1fe4d861898bc4fb0~noop.png
80,捷尼赛思G70 2023款 2.0T 后驱豪华版,中型车,25.08,4.48,2,245,353,4700,1850,1400,2835,https://p1-dcd.byteimg.com/img/motor-img/e0189a3f960c5144e012b6369a5432ab~noop.png
81,辉昂 2021款 380TSI 豪华版,大型车,34.3,3.97,2,224,350,5074,1893,1489,3009,https://p1-dcd.byteimg.com/img/motor-img/83ea15115e6f0f60f15837da6dea8470~noop.png
82,宝马2系 2022款 225i M运动曜夜套装,小型车,29.98,4.22,2,184,300,4556,1838,1405,2741,https://p9-dcd.byteimg.com/img/motor-img/c20997daba894d288cad8732dd73f755~noop.png
83,奔驰E级(进口) 2021款 改款 E 260 轿跑车,大型车,53.08,4.4,2,197,320,4846,1860,1434,2873,https://p9-dcd.byteimg.com/img/motor-img/2e9cf95e5f1de1ac45aa0135c5a76b1e~noop.png
84,奔驰C级(进口) 2022款 改款 C 200 轿跑车,中型车,35.08,4.35,1.5,156,250,4698,1810,1408,2840,https://p1-dcd.byteimg.com/img/motor-img/c502719d3259c47e79d0ea37d90071f4~noop.png
86,MINI 2022款 1.5T COOPER The Coopers 纪念版,小型车,25.49,4.09,1.5,136,220,3832,1727,1451,2495,https://p3-dcd.byteimg.com/img/motor-img/920a9fd8dc12065369016a002c651f6d~noop.png
87,捷尼赛思G80 2023款 2.5T 两驱豪华版,大型车,36.38,4.4,2.5,304,422,4995,1925,1465,3010,https://p1-dcd.byteimg.com/img/motor-img/fd893b80e9798fcf63d7ab84652e5a00~noop.png
88,奥迪A4(进口) 2022款 Avant 40 TFSI 时尚致雅型,中型车,35.98,4.45,2,204,320,4762,1847,1459,2822,https://p9-dcd.byteimg.com/img/motor-img/6594c76eeb470238b9bb8512c3f9a22c~noop.png
90,奥迪A6L 2022款 40 TFSI 豪华致雅型,大型车,41.98,4.44,2,190,320,5038,1886,1475,3024,https://p1-dcd.byteimg.com/img/motor-img/b247fab14141e0b59eeee709bdbdea7b~noop.png
91,宝马5系 2022款 改款 525Li 豪华套装,大型车,42.89,4.44,2,184,290,5106,1868,1500,3105,https://p1-dcd.byteimg.com/img/motor-img/10ce6135622d78fc875b3b3f0ba8fce8~noop.png
92,红旗H9 2022款 2.0T 智联旗悦版,大型车,30.98,4.54,2,252,380,5137,1904,1493,3060,https://p1-dcd.byteimg.com/img/motor-img/1371ea9d22ccda63f34ddd383d2a0e26~noop.png
93,奔驰S级 2022款 S 400 L 商务型,大型车,91.78,4.47,2.5,313,450,5290,1921,1503,3216,https://p1-dcd.byteimg.com/img/motor-img/c421ada55e9739c18fc4e6ff7992c056~noop.png
94,Panamera 2023款 Panamera 2.9T,大型车,99.8,4.62,2.9,330,450,5049,1937,1423,2950,https://p1-dcd.byteimg.com/img/motor-img/e33997827ea9ff7a0acbd2980be3e0d8~noop.png
95,奥迪A5 2022款 Sportback 40 TFSI 时尚致雅型,中型车,37.98,4.58,2,204,320,4757,1843,1358,2826,https://p1-dcd.byteimg.com/img/motor-img/4489fc96e9e7009ef09e34fde126ed7d~noop.png
96,宝马7系 2021款 730Li 豪华套装,大型车,82.8,4.51,2,265,400,5273,1902,1498,3210,https://p1-dcd.byteimg.com/img/motor-img/fcb0abf30a0d03191754d387f887fa91~noop.png
97,奥迪A7 2022款 40 TFSI 豪华型,大型车,58.58,4.73,2,190,320,4976,1908,1405,2928,https://p1-dcd.byteimg.com/img/motor-img/a3e7a39f0d04bfb1f01b43e0e6cae726~noop.png
98,宝马4系 2022款 425i M运动套装,中型车,36.38,4.58,2,184,300,4773,1852,1395,2851,https://p1-dcd.byteimg.com/img/motor-img/df42521363e25dee8626c4a6cea12f8a~noop.png
99,迈巴赫S级 2022款 S 480 4MATIC 智臻特别版,大型车,154.1,4.47,3,367,500,5470,1921,1510,3396,https://p1-dcd.byteimg.com/img/motor-img/18a5f760738c3399369b8bb027bfbc84~noop.png
100,奥迪A8 2022款 A8L 50 TFSI quattro 舒适型典藏版,大型车,85.88,4.36,3,286,450,5302,1945,1483,3128,https://p9-dcd.byteimg.com/img/motor-img/b0f82457a2bc03c7cc62839a1d913b31~noop.png
102,奥迪A7L 2022款 45 TFSI S-line 筑梦青春版,大型车,44.97,4.34,2,245,370,5076,1908,1429,3026,https://p1-dcd.byteimg.com/img/motor-img/2d8a5201cffa633101a59b71d00fafef~noop.png
103,奥迪RS 7 2022款 RS 7 4.0T Sportback,大型车,146.88,4.55,4,600,800,5009,1950,1422,2929,https://p1-dcd.byteimg.com/img/motor-img/e8b82f0d971b38e4c0bb6e52d21a559a~noop.png
104,奔驰C级AMG 2021款 AMG C 43 4MATIC,中型车,57.38,4.49,3,390,520,4704,1810,1434,2840,https://p9-dcd.byteimg.com/img/motor-img/00a320a0c5cc0c6827d747de730ef1d6~noop.png
105,奔驰CLS 2022款 CLS 260,大型车,57.68,4.45,2,197,320,4996,1890,1432,2939,https://p1-dcd.byteimg.com/img/motor-img/17e6bede742a6020ac7f7bc91551f6c6~noop.png
106,雷克萨斯LS 2021款 500h 卓越版,大型车,87.8,4.43,3.5,299,350,5235,1900,1450,3125,https://p9-dcd.byteimg.com/img/motor-img/c5e749092bafe499be1f11147475647b~noop.png
107,奔驰E级(进口) 2021款 改款 E 260 轿跑车,大型车,53.08,4.4,2,197,320,4846,1860,1434,2873,https://p1-dcd.byteimg.com/img/motor-img/2e9cf95e5f1de1ac45aa0135c5a76b1e~noop.png
110,宝马5系(进口) 2022款 改款 525i M运动套装,大型车,42.39,4.61,2,184,290,4976,1868,1489,2975,https://p1-dcd.byteimg.com/img/motor-img/69711734ae1818615e8572d38193a8ad~noop.png
111,飞驰 2022款 4.0T V8 标准版,大型车,273.8,4.64,4,550,770,5316,1978,1483,3194,https://p3-dcd.byteimg.com/img/motor-img/7e5204ad205f852378dc1d6e81060b85~noop.png
112,宝马M4 2021款 M4双门轿跑车 雷霆版,中型车,87.99,4.41,3,510,650,4803,1887,1402,2857,https://p1-dcd.byteimg.com/img/motor-img/220aced9e4137e45fd33eb9efec89c3b~noop.png
113,奥迪A6(进口) 2022款 Avant 先锋派 40 TFSI 豪华动感型,大型车,46.18,4.63,2,190,320,4951,1886,1483,2925,https://p1-dcd.byteimg.com/img/motor-img/2da29c63de92b2cc81e11846e93822b7~noop.png
114,幻影 2018款 6.7T 标准轴距版,大型车,790,4.72,6.7,571,900,5770,2018,1648,3552,https://p1-dcd.byteimg.com/img/motor-img/4d30bdb19fc9648da13375458bc79c0a~noop.png
115,Giulia 2022款 2.0T 280HP Ti 驾控版,中型车,37.98,4.39,2,280,400,4643,1860,1438,2820,https://p1-dcd.byteimg.com/img/motor-img/ebf4eac023d1b12daaf00d222091c628~noop.png
116,宝马M3 2021款 M3四门轿车 雷霆版,中型车,84.99,4.46,3,510,650,4803,1903,1447,2857,https://p1-dcd.byteimg.com/img/motor-img/a6ed60e1aa3e7f6a9e3e2564b9808abd~noop.png
117,宝马6系GT 2021款 630i 豪华设计套装,大型车,58.39,4.45,2,258,400,5103,1904,1550,3070,https://p1-dcd.byteimg.com/img/motor-img/2282091b37a61d567f2cb39344f7cf94~noop.png
118,总裁 2022款 3.0T GT,大型车,145.78,4.38,3,350,500,5262,1948,1476,3171,https://p1-dcd.byteimg.com/img/motor-img/397acbe9d79cf5dbb0e01b68f3361476~noop.png
119,Ghibli 2022款 2.0T GT锋芒版,大型车,77.28,4.38,2,330,450,4971,1945,1461,2998,https://p1-dcd.byteimg.com/img/motor-img/13bae2394a0eb98c8fa17ae782b6d00d~noop.png
120,宋PLUS DM-i 2021款 DM-i 51KM 两驱尊贵型,SUV,15.28,4.2,1.5,110,135,4705,1890,1680,2765,https://p3-dcd.byteimg.com/img/motor-img/a7188d742fdf9515fb0655df78ce20d3~noop.png
121,本田CR-V 2021款 240TURBO CVT两驱黑爵士版,SUV,21.18,4.02,1.5,193,243,4621,1855,1679,2661,https://p1-dcd.byteimg.com/img/motor-img/1a31acc7d3fd145f730a65c4506d2741~noop.png
122,坦克300 2021款 越野版 2.0T 挑战者,SUV,19.58,4.48,2,227,387,4760,1930,1903,2750,https://p1-dcd.byteimg.com/img/motor-img/cce3530b58a24badc02ac94570c760b8~noop.png
123,昂科威 2022款 昂科威S 552T 两驱精英型,SUV,20.99,4.2,1.5,211,270,4662,1883,1631,2779,https://p1-dcd.byteimg.com/img/motor-img/a6653ddfa9fe721f5c6187fa22947471~noop.png
124,途观L 2022款 330TSI 自动两驱舒享版,SUV,21.78,4.12,2,186,320,4733,1839,1673,2791,https://p1-dcd.byteimg.com/img/motor-img/8201ed0a4daa11da0ecfc31209187bde~noop.png
125,唐DM 2021款 2.0T 四驱性能版尊贵型,SUV,23.98,4.11,2,192,320,4870,1950,1725,2820,https://p1-dcd.byteimg.com/img/motor-img/9d867f2df357f058d5f20ea73ee0ada1~noop.png
126,皓影 2021款 240TURBO 手动两驱精英版,SUV,16.98,4.3,1.5,193,243,4634,1855,1679,2661,https://p1-dcd.byteimg.com/img/motor-img/1aed8dd54bba4511936ea51808601e70~noop.png
127,RAV4荣放 2021款 2.0L CVT两驱都市版,SUV,17.58,4.37,2,171,209,4600,1855,1680,2690,https://p1-dcd.byteimg.com/img/motor-img/d1ac1817fbc495d355e029a8b10c68f8~noop.png
128,红旗HS5 2022款 2.0T 智联旗悦版,SUV,18.38,4.15,2,224,340,4760,1907,1700,2870,https://p1-dcd.byteimg.com/img/motor-img/d3c2eba12fe90932391dee1e6438b7c4~noop.png
129,威兰达 2022款 2.0L 两驱领先版,SUV,17.18,4.12,2,171,209,4665,1855,1680,2690,https://p1-dcd.byteimg.com/img/motor-img/6f0e7dd2d71698e60b68a28b609bf66e~noop.png
130,传祺GS8 2022款 领航系列 2.0TGDI 两驱豪华智联版6座,SUV,18.68,4.19,2,252,400,4980,1950,1780,2920,https://p1-dcd.byteimg.com/img/motor-img/bef1e4e3b0a6fa8de3a3887dcaaad449~noop.png
131,奔驰GLB 2022款 改款 GLB 180 动感型,SUV,29.09,4.28,1.3,136,200,4638,1834,1687,2829,https://p1-dcd.byteimg.com/img/motor-img/ac64546623515f28fc6e56e38f7f2dd3~noop.png
132,宝马X1 2022款 sDrive20Li 时尚型,SUV,27.98,4.09,1.5,140,220,4565,1821,1620,2780,https://p3-dcd.byteimg.com/img/motor-img/2b5c618b410d350194d653e27701443b~noop.png
133,探岳 2022款 280TSI 两驱豪华智联版,SUV,20.49,4.11,1.4,150,250,4589,1860,1660,2731,https://p1-dcd.byteimg.com/img/motor-img/6d6e64aace0f32799bf2d58ce4fe2b73~noop.png
134,奥迪Q3 2022款 35 TFSI 进取动感型,SUV,27.88,4.31,1.4,150,250,4495,1848,1616,2680,https://p1-dcd.byteimg.com/img/motor-img/0478b13b3146264a434cc758fa2693eb~noop.png
135,冒险家 2022款 2.0T 两驱MONO限量版,SUV,28.98,4.11,2,245,390,4615,1887,1630,2711,https://p1-dcd.byteimg.com/img/motor-img/66c3d8def50bfa3147bce7f8effd1ad5~noop.png
136,冠道 2020款 240 TURBO CVT 精英版,SUV,22,4.05,1.5,193,243,4858,1942,1670,2820,https://p1-dcd.byteimg.com/img/motor-img/26f0c10201f02572f684ead41b64e26e~noop.png
137,奇骏 2021款 VC-Turbo 300 CVT 2WD时尚版,SUV,18.19,3.93,1.5,204,300,4681,1840,1730,2706,https://p1-dcd.byteimg.com/img/motor-img/9e98656a7bf24ad886d6f9d3584eda9b~noop.png
138,北京BJ40 2022款 2.0T 自动四驱环塔冠军版,SUV,20.99,3.98,2,224,380,4630,1925,1871,2745,https://p1-dcd.byteimg.com/img/motor-img/d75abdd80f3d7ba96237d46e036e31bf~noop.png
139,领克05 2022款 2.0TD 两驱耀,SUV,17.58,4.26,2,254,350,4592,1879,1628,2734,https://p1-dcd.byteimg.com/img/motor-img/f706964d43ae4d940c6d38f051553eb8~noop.png
140,欧蓝德 2021款 改款 2.0L 两驱畅行版 5座,SUV,15.98,3.83,2,166,201,4705,1810,1710,2670,https://p1-dcd.byteimg.com/img/motor-img/d502438c35847ee3980ff560c6a1a929~noop.png
141,凯迪拉克XT4 2022款 28T 两驱风尚型,SUV,26.17,4.35,2,237,350,4600,1881,1627,2779,https://p1-dcd.byteimg.com/img/motor-img/1234e81b15b197c2619d7913e7012161~noop.png
142,揽月 2022款 探享版 400T 两驱星享 5座,SUV,17.99,3.95,2,261,400,4970,1940,1788,2900,https://p1-dcd.byteimg.com/img/motor-img/1da13ea11df361f0cbe3c12dc214a6e6~noop.png
143,发现运动版 2022款 200PS 家庭版 5座,SUV,35.68,4.14,2,200,320,4597,1904,1727,2741,https://p1-dcd.byteimg.com/img/motor-img/4adeee45261e0cbf911b60c3978e2d86~noop.png
